term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno URI	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	term syriaca-headword.de	term syriaca-headword.fr	term syriaca-headword.grc	gloss.grc	term syriaca-headword.la	gloss.la	term syriaca-headword.ru	term syriaca-headword.swe	gloss.swe	term syriaca-headword.syr	gloss.syr	term syriaca-headword.tru	gloss.tru	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
***																												Administration	Animals	Art	Christianity 	Culture	Dynasties	Economics	Education	Ethics	Ethnicity	Events	Fields of Study	Gender	Genres	Ideology	Institutions	Intertextuality	Islam	Judaism	Languages	Law	Linguistics 	Literature	Liturgy	Mental States	Monasticism	Objects	Occupations	Persons	Places	Primaries	Religion	Ritual	Sanctity	Socioeconomic Status	Speech Acts	Techne	Time	Translation	Traditional Religion	Writing 				
***for abstracts					LOC	DNB	ISO Code																					titles, methods		plastic, architecture, musical	types, concepts/theological/doctrines, rituals	too general?			scientia, theoria						bibliographic description	doctrines, ideas, concepts							grammar, scripts, parts of speech, figures of speech	theme, text structure, style, literary technique, rhetorical strategy				Substances		divine, real, mythical, physical, spiritual, groups/classes	built, natural, etc.	bibliographic description	communities, practices, etc.						calculations of time, time keeping, time periods, dates, dating		ANE, Greek, Roman, "pagan," "pagan monotheism," polytheism	mss, scripts, writing material				
Abbasids		CBSC	Abbasids	abbasids	http://id.loc.gov/authorities/subjects/sh85000061																												http://syriaca.org/keyword/dynasties																																							
Accession		SPEAR	accession	accession																								http://syriaca.org/keyword/administration																																												
Achaemenids		CBSC	Achaemenids	achaemenids	http://id.loc.gov/authorities/subjects/sh85000482																												http://syriaca.org/keyword/dynasties																																							
Acrostics		CBSC	acrostic	acrostics	http://id.loc.gov/authorities/subjects/sh85000671																																												http://syriaca.org/keyword/linguistics	http://syriaca.org/keyword/literature																						
Actors		new		actors	http://id.loc.gov/authorities/subjects/sh85000744			mimes	theatrical performers	theatrical workers																																													http://syriaca.org/keyword/occupations																	
Adjectives		CBSC	adjectives	adjectives	http://id.loc.gov/authorities/subjects/sh85056261																																												http://syriaca.org/keyword/linguistics																							
Administration	category	CBSC	administration	administration	http://id.loc.gov/authorities/subjects/sh85000898			governance	rule																																																															
Afterlife		CBSC	afterlife	afterlife	http://id.loc.gov/authorities/subjects/sh85052611			afterlife	eternal life	life	future	life after death																																																												
